City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,chapaev,50.2,51.1667,14.72,75,5,3.13,KZ,1722042518
1,quepos,9.4236,-84.1652,25.88,88,99,1.25,CR,1722042519
2,constantia,44.1833,28.65,18.38,81,0,5.28,RO,1722042521
3,vorgashor,67.5833,63.95,8.6,94,100,2.19,RU,1722042522
4,howrah,22.5892,88.3103,29.0,94,75,2.06,IN,1722042523
5,hithadhoo,-0.6,73.0833,28.89,74,71,4.95,MV,1722042524
6,san mariano,7.5,126.0,23.93,92,100,0.74,PH,1722042525
7,tadine,-21.55,167.8833,21.13,63,98,5.09,NC,1722042527
8,puerto natales,-51.7236,-72.4875,0.67,99,93,1.52,CL,1722042528
9,susuman,62.7833,148.1667,13.93,44,5,0.75,RU,1722042529
10,pacific grove,36.6177,-121.9166,22.34,87,75,4.63,US,1722042300
11,rawlins,41.7911,-107.2387,26.94,26,20,2.06,US,1722042531
12,atherton,53.5237,-2.4935,13.19,85,100,1.64,GB,1722042532
13,albany,42.6001,-73.9662,20.87,71,0,3.88,US,1722042357
14,nuuk,64.1835,-51.7216,4.34,93,100,12.35,GL,1722042535
15,oum hadjer,13.2954,19.6966,25.47,82,100,4.93,TD,1722042536
16,taltal,-25.4,-70.4833,16.39,65,3,1.87,CL,1722042537
17,tindouf,27.6711,-8.1474,33.04,13,1,4.23,DZ,1722042538
18,flying fish cove,-10.4217,105.6791,25.82,78,75,5.66,CX,1722042540
19,grytviken,-54.2811,-36.5092,-1.11,83,10,5.55,GS,1722042541
20,errachidia,31.9275,-4.4285,28.77,22,12,3.25,MA,1722042542
21,narayanpet,16.7333,77.5,23.97,87,100,7.3,IN,1722042543
22,antsiranana,-12.2787,49.2917,20.98,85,79,2.98,MG,1722042544
23,hermanus,-34.4187,19.2345,12.01,82,0,6.92,ZA,1722042546
24,uturoa,-16.7333,-151.4333,25.19,70,45,6.15,PF,1722042547
25,hammerfest,70.6634,23.6821,20.25,68,94,3.09,NO,1722042548
26,tiksi,71.6872,128.8694,7.78,73,8,2.53,RU,1722042549
27,sitka,57.0531,-135.33,14.94,72,100,3.09,US,1722042550
28,margaret river,-33.95,115.0667,14.92,60,8,4.85,AU,1722042463
29,eyl,7.9803,49.8164,25.15,77,43,11.03,SO,1722042553
30,papatowai,-46.5619,169.4708,12.92,83,100,1.25,NZ,1722042554
31,atafu village,-8.5421,-172.5159,28.32,66,64,2.57,TK,1722042555
32,pacocha,-17.5833,-71.3333,15.17,85,6,0.74,PE,1722042556
33,adamstown,-25.066,-130.1015,20.42,75,100,6.68,PN,1722042558
34,jiwani,25.05,61.7417,28.15,86,64,1.13,PK,1722042559
35,isabela,6.7085,121.9711,29.86,68,95,2.18,PH,1722042560
36,bredasdorp,-34.5322,20.0403,8.23,90,0,2.59,ZA,1722042561
37,egilsstadir,65.2653,-14.3948,10.8,89,100,1.24,IS,1722042562
38,katsuura,35.1333,140.3,27.97,86,100,3.2,JP,1722042564
39,ilulissat,69.2167,-51.1,5.01,87,100,2.06,GL,1722042565
40,ribeira grande,38.5167,-28.7,22.65,87,11,1.79,PT,1722042566
41,wailua homesteads,22.0669,-159.378,27.44,72,75,7.72,US,1722042567
42,kaiapoi,-43.3783,172.6401,18.79,49,87,1.03,NZ,1722042568
43,edinburgh of the seven seas,-37.0676,-12.3116,11.16,65,100,5.41,SH,1722042569
44,reggane,26.7158,0.1714,34.39,12,0,5.15,DZ,1722042571
45,adre,13.4667,22.2,23.77,79,100,6.52,TD,1722042572
46,port mathurin,-19.6833,63.4167,22.69,77,75,7.91,MU,1722042573
47,waitangi,-43.9535,-176.5597,11.01,91,8,2.68,NZ,1722042574
48,at taj,24.2049,23.2857,28.78,30,5,3.77,LY,1722042575
49,ancud,-41.8697,-73.8203,8.51,80,100,10.05,CL,1722042577
50,humberto de campos,-2.5983,-43.4611,23.22,82,35,1.13,BR,1722042578
51,yellowknife,62.456,-114.3525,24.2,50,88,7.6,CA,1722042579
52,parauapebas,-6.0675,-49.9022,24.52,41,55,0.98,BR,1722042580
53,namibe,-15.1961,12.1522,15.45,90,11,3.55,AO,1722042581
54,hafnarfjordur,64.0671,-21.9377,9.21,92,89,3.49,IS,1722042583
55,bukit mertajam,5.363,100.4667,29.86,85,83,1.51,MY,1722042585
56,blackmans bay,-43.0167,147.3167,10.41,69,100,0.89,AU,1722042586
57,bethel,41.3712,-73.414,23.08,75,0,2.57,US,1722042587
58,calp,38.6447,0.0445,25.23,76,0,1.1,ES,1722042589
59,greymouth,-42.4667,171.2,12.81,84,100,2.34,NZ,1722042590
60,vikhorevka,56.1201,101.1636,24.77,70,99,1.53,RU,1722042591
